tenure_months,monthly_logins,last_login_days_ago,total_revenue,payment_failures,csat_score,churn,gender_Male,country_Bangladesh,country_Canada,country_Germany,country_India,country_UK,country_USA,city_Delhi,city_Dhaka,city_London,city_New York,city_Sydney,city_Toronto,customer_segment_Individual,customer_segment_SME,signup_channel_Referral,signup_channel_Web,contract_type_Quarterly,contract_type_Yearly,payment_method_Card,payment_method_PayPal,discount_applied_Yes,price_increase_last_3m_Yes,complaint_type_None,complaint_type_Service,complaint_type_Technical,survey_response_Satisfied,survey_response_Unsatisfied
22,26,7,660,1,4.0,0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,True,False
9,7,2,270,1,2.0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
58,19,23,1160,2,3.0,0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False
19,34,24,570,0,5.0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
52,20,2,2600,0,4.0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True
54,1,20,2700,0,4.0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
54,21,13,1080,0,4.0,0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
7,17,7,140,0,4.0,0,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False
15,29,13,450,0,2.0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False
17,18,0,510,0,4.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
46,31,27,1380,1,5.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
14,24,9,280,0,4.0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False
41,28,0,2050,1,2.0,0,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False
48,19,4,1440,1,3.0,0,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False
2,32,5,60,2,3.0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False
14,14,20,280,1,4.0,0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False
4,1,12,120,0,3.0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True
3,9,0,210,1,3.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False
3,21,0,90,0,4.0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,True,False,True,False
11,22,0,110,0,3.0,0,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False
5,21,0,150,1,3.0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False
48,32,3,480,2,5.0,0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False
55,21,2,3850,0,4.0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,True,False
29,23,16,870,1,4.0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False
28,29,11,1400,1,2.0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
23,3,1,230,1,3.0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False
30,27,8,600,1,1.0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False
23,33,28,690,0,3.0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True
51,27,8,510,1,4.0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
41,23,6,410,0,4.0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False,False
22,28,16,1540,0,5.0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
43,0,17,430,1,3.0,0,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False
12,18,4,360,0,4.0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
27,7,1,1890,2,3.0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,True,True,False,False,True,False,True
58,23,17,580,0,2.0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
59,9,14,4130,1,3.0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
